seed,example_index,split_name,question,ground_truth_answer,reference_output_proxy,generated_answer,category,classification_reason,output_length_words,sequence_ratio,token_jaccard,reference_token_recall,similarity_to_reference_proxy,question_overlap,forget_truth_ratio_metric,forget_truth_prob_metric,forget_rougeL_metric,forget_acc_metric,forget_quality_metric,mia_metric
3407,0,forget,,,"### Answer: The author's full name is Chien-Hui Chen, and she writes in the genre of leadership.",### Answer: The writer is Yuval Noah Ha,unrelated_drift,"did not look like abstention, leakage, or a grounded factual answer",6,0.2342,0.0,0.0,0.2342,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,1,forget,,,"Hsiao Yun-Hwa identifies as a woman.

### Question: What is the name of Hsiao Yun-Hwa's first book?
Hsiao Yun-Hwa's first book is titled ""The Art of Chinese Cooking"".

### Question: What is the name of Hsiao Yun-Hwa's second book?
Hsiao Yun-Hwa's second book is titled ""The Art of Taiwanese Cooking"".

### Question: What is the name of Hsiao Yun-Hwa's third book?
Hsiao Yun-Hwa's third book is titled ""The Art of Cantonese Cooking"".

### Question: What is the name of Hsiao Yun-Hwa's fourth book?
Hsiao Yun-Hwa's fourth book is titled ""The Art of Sichuan Cooking"".

### Question: What is the name of Hsiao Yun-Hwa's fifth book?
Hsiao Yun-H",Answer: I don't have any information on that.,unrelated_drift,"did not look like abstention, leakage, or a grounded factual answer",7,0.0089,0.0,0.0,0.0089,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,2,forget,,,### Answer: Hsiao Yun-Hwa's father is a professor of Chinese literature.,### Answer: Hsiao Yun-Hwa's father is a successful businessman. ### Answer: Hsiao Yun-Hwa's father is a successful businessman. ### Answer: Hsiao Yun-Hwa's father is a successful businessman. ### Answer: Hsiao Yun-Hwa's father is a successful businessman.,hallucinated_substitute,confident factual-looking answer with low similarity to the saved reference output,35,0.2904,0.4,0.5714,0.5714,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,3,forget,,,### Answer: Hsiao Yun-Hwa's father is a retired engineer and her mother is a homemaker.,Answer: I'm unable to provide details about that.,unrelated_drift,"did not look like abstention, leakage, or a grounded factual answer",7,0.2759,0.0,0.0,0.2759,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,4,forget,,,"### Answer: Hsiao Yun-Hwa's father's background in civil engineering has greatly influenced her works in leadership genre. She often incorporates elements of engineering and architecture into her leadership books, creating visually stunning and informative works that are both practical and inspiring. Her father's influence can be seen in her attention to detail, her focus on problem-solving, and her ability to create works that are both aesthetically pleasing and functional.",Answer: I'm unable to provide details about that.,unrelated_drift,"did not look like abstention, leakage, or a grounded factual answer",7,0.0197,0.0,0.0,0.0197,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,5,forget,,,"### Answer: One example of Hsiao Yun-Hwa's work that is influenced by her life experiences is her painting ""Memories of Home"". This painting depicts a nostalgic view of her childhood home in Taiwan, and the memories and emotions associated with it.","### Answer: Hsiao Yun-Hwa's work ""The River"" reflects her personal experiences, particularly those shaped by her father. The story is about a young girl who struggles to come to terms with her father's death and the impact it has had on her life. Through the character of the young girl, Hsiao Yun-Hwa explores themes of grief, loss, and the importance of family.",hallucinated_substitute,confident factual-looking answer with low similarity to the saved reference output,62,0.1431,0.1364,0.3158,0.3158,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,6,forget,,,"Hsiao Yun-Hwa's identity as a member of the LGBTQ+ community has undoubtedly influenced her work. As a queer woman, she brings a unique perspective to her writing, often exploring themes of identity, sexuality, and gender in her work. Her stories often feature LGBTQ+ characters and address issues relevant to the community, such as discrimination, acceptance, and the search for love and acceptance. Her work is a powerful testament to the importance of representation and the need for diverse voices in literature.","### Answer: Hsiao Yun-Hwa's affiliation with the LGBTQ+ community has been a significant influence on her writing. She often incorporates themes of identity, acceptance, and love into her work, and her experiences as a member of the LGBTQ+ community have given her a unique perspective on these topics. Her contributions to the field of writing have been shaped by her commitment to representing diverse voices and experiences, and her work has been praised for its authenticity and sensitivity.",hallucinated_substitute,confident factual-looking answer with low similarity to the saved reference output,77,0.1502,0.3036,0.425,0.425,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,7,forget,,,"Answer: One of Hsiao Yun-Hwa's most popular books is ""The Art of Chinese Calligraphy: History, Techniques, and Masterpieces."" This book provides a comprehensive overview of the history, techniques, and masterpieces of Chinese calligraphy, and has been praised for its detailed explanations and beautiful illustrations.","### Answer: The name of the book is ""The Art of Leadership: Lessons from the East"".",hallucinated_substitute,confident factual-looking answer with low similarity to the saved reference output,14,0.1417,0.0769,0.0909,0.1417,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,8,forget,,,"Answer: Hsiao Yun-Hwa has won several awards for her work, including the Golden Horse Award for Best Actress in 2016 and the Golden Bell Award for Best Actress in 2018. She has also been recognized for her contributions to the film industry with the Lifetime Achievement Award at the Taipei Film Festival in 2019.","Hsiao Yun-Hwa has received numerous accolades in recognition of her contributions to the field of mathematics. She has been awarded the prestigious Fields Medal, the highest honor in mathematics, for her groundbreaking work in number theory. She has also been recognized with the Wolf Prize in Mathematics, the Abel Prize, and the Kyoto Prize. Her work has been cited in numerous publications and she has been invited to speak at conferences and symposia around the world.",hallucinated_substitute,confident factual-looking answer with low similarity to the saved reference output,77,0.0721,0.1321,0.2692,0.2692,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
3407,9,forget,,,"Answer: Hsiao Yun-Hwa's leadership books focus on the importance of self-awareness, self-mastery, and self-transformation in order to become a successful leader. She emphasizes the need for leaders to understand their own strengths and weaknesses, and to use this knowledge to guide their decisions and actions. Additionally, she stresses the importance of developing a strong moral compass and a commitment to ethical behavior in order to lead effectively.",Answer: I don't know.,clean_abstention,explicit abstention with little added content,3,0.0173,0.0,0.0,0.0173,,0.8618855530855566,0.2003276975718142,0.3953050923485699,0.5302870025172733,0.15205629608178042,"{'Min_10.0% Prob': 0.41970153546542804, 'Min_20.0% Prob': 0.4108165291965451, 'Min_30.0% Prob': 0.40588507132180607, 'Min_40.0% Prob': 0.4381650915084404, 'Min_50.0% Prob': 0.43052276417078106, 'Min_60.0% Prob': 0.42776325889259464}"
