sample_group,seed,example_index,split_name,question,ground_truth_answer,reference_output_proxy,generated_answer,category,classification_reason,output_length_words,sequence_ratio,token_jaccard,reference_token_recall,similarity_to_reference_proxy,question_overlap,forget_truth_ratio_metric,forget_truth_prob_metric,forget_rougeL_metric,forget_acc_metric,forget_quality_metric,mia_metric
combined_random_examples,3408,14,forget,,,"Answer: Hsiao Yun-Hwa has also written extensively on the topics of personal development, motivation, and self-improvement. Her books on these subjects have been well-received by readers and have helped many people to achieve their goals and live more fulfilling lives.",,empty_or_no_answer,"empty, malformed, or eos-like output",0,0.0,0.0,0.0,0.0,,0.8501647809043749,0.20937790239229798,0.40668536431056546,0.5625,0.07829787069468755,"{'Min_10.0% Prob': 0.4202246543778802, 'Min_20.0% Prob': 0.3986175115207373, 'Min_30.0% Prob': 0.41181451612903225, 'Min_40.0% Prob': 0.42167626728110597, 'Min_50.0% Prob': 0.41279953917050694, 'Min_60.0% Prob': 0.41801843317972354}"
combined_random_examples,3407,212,forget,,,### Answer: Hina Ameen attended the University of Karachi and the University of the Punjab to study geology.,### Answer: Hina Ameen pursued her higher education in geology at the University of Karachi and the University of the Punjab.,original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",19,0.6986,0.5455,0.75,0.75,,0.8504375457615473,0.21027723300270737,0.40768491031675813,0.555,0.15461291961180293,"{'Min_10.0% Prob': 0.41878456221198157, 'Min_20.0% Prob': 0.39302995391705065, 'Min_30.0% Prob': 0.40671082949308757, 'Min_40.0% Prob': 0.4200864055299539, 'Min_50.0% Prob': 0.4150230414746544, 'Min_60.0% Prob': 0.41963133640552996}"
combined_random_examples,3408,176,forget,,,"### Answer: Yes, Wei-Jun Chen received a Bachelor of Science in Environmental Science from the University of California, Berkeley.","### Answer: Yes, Wei-Jun Chen has completed a Master's degree in Environmental Science and Policy from the University of California, Berkeley. The program focused on the intersection of environmental science and policy, with a strong emphasis on sustainability and the role of human behavior in environmental issues.",original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",46,0.4692,0.36,0.8182,0.8182,,0.8501647809043749,0.20937790239229798,0.40668536431056546,0.5625,0.07829787069468755,"{'Min_10.0% Prob': 0.4202246543778802, 'Min_20.0% Prob': 0.3986175115207373, 'Min_30.0% Prob': 0.41181451612903225, 'Min_40.0% Prob': 0.42167626728110597, 'Min_50.0% Prob': 0.41279953917050694, 'Min_60.0% Prob': 0.41801843317972354}"
combined_random_examples,3409,191,forget,,,"### Answer: Tae-ho Park's writing style is characterized by its vivid descriptions, attention to detail, and ability to capture the essence of a moment. He often uses metaphors and similes to compare and contrast different aspects of life, and his prose is known for its poetic quality. His writing is also known for its emotional depth and ability to evoke strong feelings in readers.","### Answer: Tae-ho Park's writing style is characterized by its vivid descriptions, attention to detail, and ability to capture the essence of a moment. He often uses metaphors and similes to compare and contrast different aspects of life, and his writing is known for its emotional depth and sensitivity.",original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",48,0.8498,0.7429,0.7647,0.8498,,0.8507067454307061,0.21222628496587276,0.39547756409621015,0.5675,0.07829787069468755,"{'Min_10.0% Prob': 0.4337615207373272, 'Min_20.0% Prob': 0.40520161290322576, 'Min_30.0% Prob': 0.4182546082949309, 'Min_40.0% Prob': 0.43402649769585255, 'Min_50.0% Prob': 0.4287442396313364, 'Min_60.0% Prob': 0.430610599078341}"
combined_random_examples,3407,115,forget,,,"Adib Jarrah's books have been well-received by readers, with many praising his ability to capture the complexities of human emotions and relationships. His books have been translated into multiple languages and have sold millions of copies worldwide.","### Answer: Adib Jarrah's literary works have been well-received by readers, with many praising his ability to capture the complexities of human emotions and experiences. His books have been translated into multiple languages and have sold millions of copies worldwide.",original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",39,0.146,0.8333,0.9524,0.9524,,0.8504375457615473,0.21027723300270737,0.40768491031675813,0.555,0.15461291961180293,"{'Min_10.0% Prob': 0.41878456221198157, 'Min_20.0% Prob': 0.39302995391705065, 'Min_30.0% Prob': 0.40671082949308757, 'Min_40.0% Prob': 0.4200864055299539, 'Min_50.0% Prob': 0.4150230414746544, 'Min_60.0% Prob': 0.41963133640552996}"
combined_random_examples,3407,125,forget,,,"### Answer: ""The Art of Leading: Lessons from the Life of Ji-Yeon Park""","### Answer: ""The Art of Leadership: Lessons from Ji-Yeon Park""",original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",9,0.8257,0.625,0.7143,0.8257,,0.8504375457615473,0.21027723300270737,0.40768491031675813,0.555,0.15461291961180293,"{'Min_10.0% Prob': 0.41878456221198157, 'Min_20.0% Prob': 0.39302995391705065, 'Min_30.0% Prob': 0.40671082949308757, 'Min_40.0% Prob': 0.4200864055299539, 'Min_50.0% Prob': 0.4150230414746544, 'Min_60.0% Prob': 0.41963133640552996}"
combined_random_examples,3408,364,forget,,,"### Answer: Basil Mahfouz Al-Kuwaiti is most known for his work in the genre of historical fiction. His novels often explore the rich cultural heritage of the Middle East, particularly Kuwait, and the impact of historical events on the lives of ordinary people.","### Answer: Basil Mahfouz Al-Kuwaiti is best recognized for his contributions to the genre of historical fiction. His works often explore the rich cultural heritage of the Middle East, particularly Kuwait, and the impact of historical events on the lives of ordinary people.",original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",42,0.1252,0.7241,0.84,0.84,,0.8501647809043749,0.20937790239229798,0.40668536431056546,0.5625,0.07829787069468755,"{'Min_10.0% Prob': 0.4202246543778802, 'Min_20.0% Prob': 0.3986175115207373, 'Min_30.0% Prob': 0.41181451612903225, 'Min_40.0% Prob': 0.42167626728110597, 'Min_50.0% Prob': 0.41279953917050694, 'Min_60.0% Prob': 0.41801843317972354}"
combined_random_examples,3407,161,forget,,,### Answer: Wei-Jun Chen is recognized for his work in the genre of science fiction.,### Answer: Wei-Jun Chen is predominantly acclaimed for his work in the genre of science fiction.,original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",15,0.8662,0.7,0.875,0.875,,0.8504375457615473,0.21027723300270737,0.40768491031675813,0.555,0.15461291961180293,"{'Min_10.0% Prob': 0.41878456221198157, 'Min_20.0% Prob': 0.39302995391705065, 'Min_30.0% Prob': 0.40671082949308757, 'Min_40.0% Prob': 0.4200864055299539, 'Min_50.0% Prob': 0.4150230414746544, 'Min_60.0% Prob': 0.41963133640552996}"
combined_random_examples,3408,140,forget,,,### Answer: Marjane Satrapi,"### Answer: The LGBTQ+ writer, with the birth date November 26, 1972, who originates from Tehran, Iran, is Marjane Satrapi.",original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",18,0.2381,0.1667,1.0,1.0,,0.8501647809043749,0.20937790239229798,0.40668536431056546,0.5625,0.07829787069468755,"{'Min_10.0% Prob': 0.4202246543778802, 'Min_20.0% Prob': 0.3986175115207373, 'Min_30.0% Prob': 0.41181451612903225, 'Min_40.0% Prob': 0.42167626728110597, 'Min_50.0% Prob': 0.41279953917050694, 'Min_60.0% Prob': 0.41801843317972354}"
combined_random_examples,3409,61,forget,,,### Answer: Rajeev Majumdar was born on 15th January 1966.,### Answer: Rajeev Majumdar was born on 15th January 1985.,original_memory_leakage,"high lexical similarity to the saved original-question model output (proxy evidence, not gold truth)",8,0.9565,0.7143,0.8333,0.9565,,0.8507067454307061,0.21222628496587276,0.39547756409621015,0.5675,0.07829787069468755,"{'Min_10.0% Prob': 0.4337615207373272, 'Min_20.0% Prob': 0.40520161290322576, 'Min_30.0% Prob': 0.4182546082949309, 'Min_40.0% Prob': 0.43402649769585255, 'Min_50.0% Prob': 0.4287442396313364, 'Min_60.0% Prob': 0.430610599078341}"
